,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,rUSGrowth,rRFR
0,1971-01-01,3156.978,1.08,22.391,3.84,1,1971,,,
1,1971-04-01,3185.993,1.1366666666666665,22.685,4.25,2,1971,0.013130275557143412,1.1219353464109911,4.194919550363677
2,1971-07-01,3211.3940000000002,1.1133333333333333,22.916,5.01,3,1971,0.010182940268900209,1.1021106068540174,4.959497730843078
3,1971-10-01,3264.679,1.1133333333333333,23.107,4.23,4,1971,0.008334787921103093,1.1041306386232166,4.195035270697192
4,1972-01-01,3307.7670000000003,1.24,23.458000000000002,3.436666666666667,1,1972,0.015190202103258832,1.221445988575326,3.3852441242504336
5,1972-04-01,3370.736,1.28,23.604,3.77,2,1972,0.006223889504646474,1.2720826978478226,3.746681071004915
6,1972-07-01,3422.6820000000002,1.293333333333333,23.83,4.22,3,1972,0.009574648364683913,1.2810675618967684,4.179978178766261
7,1972-10-01,3503.0009999999997,1.356666666666667,24.134,4.863333333333332,4,1972,0.01275702895509867,1.339577635976907,4.80207314715063
8,1973-01-01,3566.9570000000003,1.3066666666666664,24.412,5.7,1,1973,0.011519018811634973,1.2917865530613357,5.635089300344093
9,1973-04-01,3565.349,1.1966666666666663,24.787,6.603333333333333,2,1973,0.015361297722431555,1.1785624184720482,6.503432175468323
10,1973-07-01,3577.8979999999997,1.243333333333333,25.27,8.323333333333332,3,1973,0.019486020898051404,1.219568790397045,8.164244690674053
11,1973-10-01,3567.2270000000003,1.1766666666666663,25.773000000000003,7.5,4,1973,0.01990502572220043,1.1537021948033466,7.353625887556744
12,1974-01-01,3535.312,1.13,26.26,7.616666666666665,1,1974,0.01889574360765134,1.1090437928408226,7.475413175932977
13,1974-04-01,3548.0409999999997,1.02,26.88,8.153333333333332,2,1974,0.02361005331302346,0.9964732142857144,7.965272817460318
14,1974-07-01,3563.282,0.8333333333333331,27.668000000000003,8.19,3,1974,0.029315476190476364,0.8095995373716927,7.9567442532889965
15,1974-10-01,3511.197,0.8366666666666666,28.482,7.36,4,1974,0.02942026890270344,0.8127551904126582,7.149655220841233
16,1975-01-01,3540.647,0.9766666666666663,29.129,5.75,1,1975,0.02271610139737379,0.9549733942119534,5.622283634865598
17,1975-04-01,3598.886,1.12,29.561999999999998,5.393333333333333,2,1975,0.014864911256822877,1.1035951559434412,5.314336197370499
18,1975-07-01,3650.035,1.0766666666666664,30.084,6.33,3,1975,0.017657803937487282,1.057984975402207,6.220165536497807
19,1975-10-01,3689.285,1.1166666666666665,30.587,5.626666666666666,4,1975,0.01671985108363261,1.0983032007061821,5.5341367247523445
20,1976-01-01,3763.048,1.2766666666666664,30.910999999999998,4.916666666666666,1,1976,0.010592735475855708,1.2632850225917416,4.8651316144198935
21,1976-04-01,3797.67,1.3,31.221999999999998,5.156666666666666,2,1976,0.010061143282326768,1.287050797514573,5.105301496807805
22,1976-07-01,3837.6540000000005,1.336666666666667,31.625999999999998,5.15,3,1976,0.012939593876112987,1.3195916861653916,5.084212356921521
23,1976-10-01,3887.447,1.3633333333333333,32.192,4.673333333333333,4,1976,0.017896667299057922,1.3393631958250494,4.591166749502981
24,1977-01-01,3933.268,1.3533333333333333,32.711,4.63,1,1977,0.016122017892644003,1.3318610457236608,4.556539390419125
25,1977-04-01,3954.5959999999995,1.36,33.172,4.84,2,1977,0.014093118522821024,1.3410997226576633,4.772737248281683
26,1977-07-01,3991.989,1.3666666666666667,33.576,5.496666666666666,3,1977,0.012178946099119736,1.3502223810658407,5.430528552140418
27,1977-10-01,4052.01,1.3533333333333333,34.301,6.11,4,1977,0.02159280438408384,1.324728725110055,5.9808565347949045
28,1978-01-01,4074.7740000000003,1.313333333333333,34.8,6.393333333333333,1,1978,0.014547680825631737,1.2945013409961685,6.301658812260537
29,1978-04-01,4161.887,1.4666666666666668,35.465,6.476666666666667,2,1978,0.01910919540229905,1.4391653743127024,6.355223459749047
30,1978-07-01,4179.363,1.5933333333333333,36.067,7.313333333333333,3,1978,0.01697448188354711,1.5667387547250025,7.19126533026497
31,1978-10-01,4213.088,1.4766666666666668,36.806,8.57,4,1978,0.020489644273158136,1.4470177869550258,8.397929413682553
32,1979-01-01,4234.909000000001,1.5933333333333333,37.476,9.383333333333331,1,1979,0.01820355376840732,1.564847546874444,9.215577080442593
33,1979-04-01,4232.159000000001,1.68,38.394,9.376666666666665,2,1979,0.02449567723342927,1.639831223628692,9.152470698546647
34,1979-07-01,4273.342000000001,1.8266666666666669,39.234,9.673333333333332,3,1979,0.021878418502891073,1.787557730539838,9.466227251873374
35,1979-10-01,4283.975,1.8795454545454544,39.961999999999996,11.843333333333332,4,1979,0.018555334658714173,1.8453051990299878,11.62757970071568
36,1980-01-01,4277.851,1.9611290322580643,40.801,13.353333333333332,1,1980,0.020994945197938097,1.9208019015979207,13.078745782374613
37,1980-04-01,4181.51,1.9306349206349207,41.772,9.616666666666665,2,1980,0.023798436312835403,1.885756856191358,9.393124980050432
38,1980-07-01,4227.379,2.2534375,42.705,9.15333333333333,3,1980,0.022335535765584558,2.2042053916403233,8.953355344807397
39,1980-10-01,4284.494000000001,2.485873015873016,43.818000000000005,13.613333333333332,4,1980,0.026062521952933126,2.4227305477853194,13.267547583184989
40,1981-01-01,4298.847,2.470806451612903,44.972,14.39,1,1981,0.02633620886393717,2.4074045427549184,14.02074668682736
41,1981-04-01,4299.16,2.5734920634920635,45.863,14.906666666666666,2,1981,0.019812327670550633,2.5234957390350625,14.617068515651686
42,1981-07-01,4319.0470000000005,2.4684375,46.726000000000006,15.053333333333331,3,1981,0.01881691123563667,2.4228470030068907,14.775307680235127
43,1981-10-01,4289.504,2.4190625,47.534,11.75,4,1981,0.017292299790266474,2.377942407013927,11.550269280935753
44,1982-01-01,4321.1,2.2572580645161286,48.188,12.81333333333333,1,1982,0.013758572811040537,2.2266229110714213,12.639432777178271
45,1982-04-01,4334.262,2.273174603174603,48.81399999999999,12.42,2,1982,0.012990786087822448,2.244022980656734,12.260723562912283
46,1982-07-01,4363.318,2.2846875,49.506,9.316666666666666,3,1982,0.0141762609087559,2.252751901284692,9.18643733419518
47,1982-10-01,4439.749,2.7996875,50.019,7.906666666666665,4,1982,0.010362380317537223,2.7709736175253408,7.825575081469041
48,1983-01-01,4483.645,3.0912698412698414,50.397,8.106666666666666,1,1983,0.0075571282912494375,3.0680839373469886,8.045863047403614
49,1983-04-01,4574.944,3.4882539682539684,50.771,8.396666666666665,2,1983,0.0074210766513880255,3.4625580594846515,8.334813377715623
50,1983-07-01,4656.982,3.59296875,51.31100000000001,9.14,3,1983,0.010635992988123233,3.555156134284071,9.043810099199002
51,1983-10-01,4731.194,3.5842857142857145,51.7,8.8,4,1983,0.007581220401083444,3.5573169107488263,8.733787234042556
52,1984-01-01,4770.457,3.45968253968254,52.223,9.17,1,1984,0.010116054158607168,3.425034703130562,9.078164793290314
53,1984-04-01,4837.29,3.3622222222222224,52.67,9.796666666666665,2,1984,0.008559446986959873,3.333687699090775,9.713524270615782
54,1984-07-01,4873.165,3.4944444444444445,53.138000000000005,10.32,3,1984,0.008885513575090265,3.4636679756274016,10.229109112123151
55,1984-10-01,4936.293,3.62765625,53.536,8.803333333333333,4,1984,0.00748993187549396,3.600687347065526,8.737887153815501
56,1985-01-01,5020.163,3.964032258064516,54.065,8.183333333333334,1,1985,0.009881201434548625,3.9252461105658365,8.103263355837111
57,1985-04-01,5066.25,4.1853968253968254,54.413000000000004,7.46,2,1985,0.006436696568944855,4.158628992429739,7.412289342620329
58,1985-07-01,5162.475,4.332222222222223,54.74100000000001,7.1066666666666665,3,1985,0.006027971256868714,4.3062641854876205,7.064084567935064
59,1985-10-01,5173.643,4.5346875,55.047,7.166666666666666,4,1985,0.005589959993423488,4.509479688947628,7.126827983359674
60,1986-01-01,5218.851,5.129672131147541,55.321000000000005,6.8966666666666665,1,1986,0.004977564626591935,5.10426532064277,6.8625080891524
61,1986-04-01,5275.72,5.67125,55.531000000000006,6.14,2,1986,0.003796026825256149,5.649803195512416,6.116780536997353
62,1986-07-01,5369.049,5.673125,55.758,5.5233333333333325,3,1986,0.004087806810610273,5.650028773897916,5.500846933773329
